Nome BOT,Ora,Ultimo Prezzo,Variazione,Apertura,Min,Max
Bot Zc Dc23 A Eur,11/12,99.99,0.00%,0,,
Bot Zc Ge24 A Eur,15/12,99.758,0.00%,0,,
Bot Zc Fb24 A Eur,15/12,99.433,0.00%,0,,
Bot Zc Mz24 A Eur,15/12,99.186,0.00%,0,,
Bot Zc Ap24 A Eur,15/12,98.869,0.00%,0,,
Bot Zc Mg24 A Eur,15/12,98.585,0.00%,0,,
Bot Zc Nv23 S Eur,27/11,99.989,0.00%,0,,
Bot Zc Gn24 A Eur,15/12,98.39,0.00%,0,,
Bot Zc Lg24 A Eur,15/12,98.054,0.00%,0,,
Bot Zc Ge24 S Eur,15/12,99.561,0.00%,0,,
Bot Zc Ag24 A Eur,15/12,97.716,0.00%,0,,
Bot Zc Sep24 A Eur,15/12,97.547,0.00%,0,,
Bot Zc Mar24 S Eur,15/12,99.029,0.00%,0,,
Bot Zc Oct24 A Eur,15/12,97.243,0.00%,0,,
Bot Zc Nov24 A Eur,15/12,96.98,0.00%,0,,
Bot Zc May24 S Eur,15/12,98.424,0.00%,0,,
Bot Zc Dec24 A Eur,15/12,96.8,0.00%,0,,
